사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020042500100238,2020년 4월 25일 12시,토요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,자전거,남,69세,경상
2020042500100371,2020년 4월 25일 16시,토요일,경상남도 밀양시 가곡동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,원동기,남,19세,중상,화물,남,60세,상해없음
2020042600100135,2020년 4월 26일 10시,일요일,경상남도 밀양시 초동면,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,화물,남,61세,기타불명,원동기,남,62세,중상
2020042600100222,2020년 4월 26일 14시,일요일,경상남도 밀양시 하남읍,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,17세,부상신고,승용,남,58세,상해없음
2020042600100257,2020년 4월 26일 15시,일요일,경상남도 밀양시 내이동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,승용,남,47세,경상
2020042700100198,2020년 4월 27일 11시,월요일,경상남도 밀양시 내이동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,여,60세,경상
2020042900100301,2020년 4월 29일 14시,수요일,경상남도 밀양시 산내면,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,37세,상해없음,사륜오토바이(ATV),남,80세,중상
2020043000100059,2020년 4월 30일 04시,목요일,경상남도 밀양시 가곡동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,35세,상해없음,화물,남,46세,상해없음
2020043000100276,2020년 4월 30일 13시,목요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,화물,남,39세,상해없음,승용,남,28세,경상
2020043000100404,2020년 4월 30일 16시,목요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,74세,경상,,,,
2020050100100029,2020년 5월 1일 02시,금요일,경상남도 밀양시 하남읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,자전거,남,48세,경상
2020050200100423,2020년 5월 2일 18시,토요일,경상남도 밀양시 내이동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,66세,상해없음,보행자,여,80세,중상
2020050300100318,2020년 5월 3일 18시,일요일,경상남도 밀양시 교동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,62세,상해없음,승용,여,62세,경상
2020050400100263,2020년 5월 4일 13시,월요일,경상남도 밀양시 가곡동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,승용,남,34세,경상
2020050400100264,2020년 5월 4일 13시,월요일,경상남도 밀양시 무안면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,60세,경상,화물,남,77세,경상
2020050600100284,2020년 5월 6일 13시,수요일,경상남도 밀양시 하남읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,이륜,남,63세,경상
2020050600100471,2020년 5월 6일 17시,수요일,경상남도 밀양시 교동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,여,35세,경상
2020050700100091,2020년 5월 7일 07시,목요일,경상남도 밀양시 가곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,37세,상해없음,승용,남,32세,경상
2020050700100171,2020년 5월 7일 09시,목요일,경상남도 밀양시 무안면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,원동기,남,75세,중상
